"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3006697_1188747_20260723","850261190_20260723_1643","23.07.2026 0:00:00","850261190","3006697"
"3006697_1188747_20260730","850261190_20260730_1643","30.07.2026 0:00:00","850261190","3006697"
"3006697_1406535_20260707","850194789_20260707_1643","07.07.2026 0:00:00","850194789","3006697"
"3006697_1406535_20260714","850194789_20260714_1643","14.07.2026 0:00:00","850194789","3006697"
"3006697_1406535_20260721","850194789_20260721_1643","21.07.2026 0:00:00","850194789","3006697"
"3006697_1406535_20260728","850194789_20260728_1643","28.07.2026 0:00:00","850194789","3006697"
"3006697_1406542_20260714","850194801_20260714_1643","14.07.2026 0:00:00","850194801","3006697"
"3006697_1406542_20260721","850194801_20260721_1643","21.07.2026 0:00:00","850194801","3006697"
"3006697_1406542_20260728","850194801_20260728_1643","28.07.2026 0:00:00","850194801","3006697"
"3006697_1406558_20260702","850194817_20260702_1643","02.07.2026 0:00:00","850194817","3006697"
"3006697_1406558_20260709","850194817_20260709_1643","09.07.2026 0:00:00","850194817","3006697"
"3006697_1406558_20260717","850194817_20260717_1643","17.07.2026 0:00:00","850194817","3006697"
"3006697_1406558_20260724","850194817_20260724_1643","24.07.2026 0:00:00","850194817","3006697"
"3006697_1406558_20260731","850194817_20260731_1643","31.07.2026 0:00:00","850194817","3006697"
"3006697_1407589_20260707","850194831_20260707_1643","07.07.2026 0:00:00","850194831","3006697"
"3006697_1407589_20260714","850194831_20260714_1643","14.07.2026 0:00:00","850194831","3006697"
"3006697_1407589_20260721","850194831_20260721_1643","21.07.2026 0:00:00","850194831","3006697"
"3006697_1407589_20260728","850194831_20260728_1643","28.07.2026 0:00:00","850194831","3006697"
"3006697_1407597_20260702","850194839_20260702_1643","02.07.2026 0:00:00","850194839","3006697"
"3006697_1407597_20260709","850194839_20260709_1643","09.07.2026 0:00:00","850194839","3006697"
"3006697_1407597_20260731","850194839_20260731_1643","31.07.2026 0:00:00","850194839","3006697"
"3006697_1407609_20260702","850194851_20260702_1643","02.07.2026 0:00:00","850194851","3006697"
"3006697_1407609_20260709","850194851_20260709_1643","09.07.2026 0:00:00","850194851","3006697"
"3006697_1407609_20260717","850194851_20260717_1643","17.07.2026 0:00:00","850194851","3006697"
"3006697_1407609_20260731","850194851_20260731_1643","31.07.2026 0:00:00","850194851","3006697"
"3006697_1411478_20260709","850253345_20260709_1643","09.07.2026 0:00:00","850253345","3006697"
"3006697_1411478_20260723","850253345_20260723_1643","23.07.2026 0:00:00","850253345","3006697"
"3006697_1411478_20260730","850253345_20260730_1643","30.07.2026 0:00:00","850253345","3006697"
"3006698_1163875_20260701","850175460_20260701_4225","01.07.2026 0:00:00","850175460","3006698"
"3006698_1163875_20260708","850175460_20260708_4225","08.07.2026 0:00:00","850175460","3006698"
"3006698_1406557_20260707","850194816_20260707_4225","07.07.2026 0:00:00","850194816","3006698"
"3006702_1024553_20260730","850196800_20260730_0703","30.07.2026 0:00:00","850196800","3006702"
"3006702_1025741_20260730","850288429_20260730_0703","30.07.2026 0:00:00","850288429","3006702"
"3006702_1143225_20260730","850293077_20260730_0703","30.07.2026 0:00:00","850293077","3006702"
"3006702_1155461_20260730","850196477_20260730_0703","30.07.2026 0:00:00","850196477","3006702"
"3006702_1159066_20260730","850296663_20260730_0703","30.07.2026 0:00:00","850296663","3006702"
"3006702_1516308_20260730","850323407_20260730_0703","30.07.2026 0:00:00","850323407","3006702"
"3006705_1129370_20260703","850256277_20260703_2327","03.07.2026 0:00:00","850256277","3006705"
"3006705_1129370_20260710","850256277_20260710_2327","10.07.2026 0:00:00","850256277","3006705"
"3006705_1129370_20260717","850256277_20260717_2327","17.07.2026 0:00:00","850256277","3006705"
